frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,0.0333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
2,0.0667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
3,0.1,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
4,0.1333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
5,0.1667,0.00926,0.04167,1,0,0.00012,1.0,8.402,1.0,12.0,0,0,0
6,0.2,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
7,0.2333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
8,0.2667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
9,0.3,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
10,0.3333,0.0,0.0,0,0,8e-05,0.0,0.0,1.0,12.0,0,0,0
11,0.3667,0.0,0.0,0,0,8e-05,0.0,0.0,1.0,12.0,0,0,0
12,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.077,12.0,0,0,0
13,0.4333,0.0,0.0,0,0,0.0,0.0,0.0,0.059,12.0,0,0,0
14,0.4667,0.0,0.0,0,0,0.0,0.0,0.0,0.059,12.0,0,0,0
15,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.076,12.0,0,0,0
16,0.5333,0.0,0.0,0,0,0.0,0.0,0.0,0.079,12.0,0,0,0
17,0.5667,0.0,0.0,0,0,0.00062,0.0,0.0,0.096,12.0,0,0,0
18,0.6,0.0,0.0,0,0,0.00086,0.0,0.0,0.105,12.0,0,0,0
19,0.6333,0.0,0.0,0,0,0.00058,0.0,0.0,0.104,12.0,0,0,0
20,0.6667,0.0,0.0,0,0,0.00023,0.0,0.0,0.103,12.0,0,0,0
21,0.7,0.0,0.0,0,0,0.0,0.0,0.0,0.106,12.0,0,0,0
22,0.7333,0.0,0.0,0,0,0.0,0.0,0.0,0.123,12.0,0,0,0
23,0.7667,0.0,0.0,0,0,0.0,0.0,0.0,0.132,12.0,0,0,0
24,0.8,0.0,0.0,0,0,0.0,0.0,0.0,0.204,12.0,0,0,0
25,0.8333,0.0,0.0,0,0,0.00043,0.0,0.0,0.169,12.0,0,0,0
26,0.8667,0.0,0.0,0,0,0.00238,0.0,0.0,0.17,12.0,0,0,0
27,0.9,0.0,0.0,0,0,0.00093,0.0,0.0,0.174,12.0,0,0,0
28,0.9333,0.0,0.0,0,0,0.0,0.0,0.0,0.173,12.0,0,0,0
29,0.9667,0.0,0.0,0,0,0.0,0.0,0.0,0.174,12.0,0,0,0
30,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.173,12.0,0,0,0
