frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,0.0333,0.0,0.0,0,0,0.00853,0.0,0.0,1.0,12.0,0,0,0
2,0.0667,0.01389,0.0625,1,0,0.00935,1.0,21.785,1.0,12.0,0,0,0
3,0.1,0.0,0.0,0,0,0.00167,0.0,0.0,1.0,12.0,0,0,0
4,0.1333,0.0,0.0,0,0,0.00935,0.0,0.0,1.0,12.0,0,0,0
5,0.1667,0.0,0.0,0,0,0.00935,0.0,0.0,1.0,12.0,0,0,0
6,0.2,0.0,0.0,0,0,0.00674,0.0,0.0,1.0,12.0,0,0,0
7,0.2333,0.0,0.0,0,0,0.01437,0.0,0.0,1.0,12.0,0,0,0
8,0.2667,0.0,0.0,0,0,0.01242,0.0,0.0,1.0,12.0,0,0,0
9,0.3,0.0,0.0,0,0,0.01246,0.0,0.0,0.026,12.0,0,0,0
10,0.3333,0.01389,0.0625,1,0,0.00911,1.0,20.797,0.028,12.0,0,0,0
11,0.3667,0.0,0.0,0,0,0.00191,0.0,0.0,0.029,12.0,0,0,0
12,0.4,0.0,0.0,0,0,0.00171,0.0,0.0,0.139,12.0,0,0,0
13,0.4333,0.0,0.0,0,0,0.00923,0.0,0.0,0.131,12.0,0,0,0
14,0.4667,0.0,0.0,0,0,0.01768,0.0,0.0,0.129,12.0,0,0,0
15,0.5,0.0,0.0,0,0,0.02068,0.0,0.0,0.131,12.0,0,0,0
16,0.5333,0.0,0.0,0,0,0.01558,0.0,0.0,0.129,12.0,0,0,0
17,0.5667,0.0,0.0,0,0,0.01211,0.0,0.0,0.15,12.0,0,0,0
18,0.6,0.01389,0.0625,1,0,0.00849,1.0,19.268,0.169,12.0,0,0,0
19,0.6333,0.01389,0.0625,1,0,0.00662,1.0,18.578,0.169,12.0,0,0,0
20,0.6667,0.0,0.0,0,0,0.01219,0.0,0.0,0.174,12.0,0,0,0
21,0.7,0.0,0.0,0,0,0.01554,0.0,0.0,0.176,12.0,0,0,0
22,0.7333,0.0,0.0,0,0,0.02368,0.0,0.0,0.196,12.0,0,0,0
23,0.7667,0.0,0.0,0,0,0.01869,0.0,0.0,0.21,12.0,0,0,0
24,0.8,0.0,0.0,0,0,0.01538,0.0,0.0,0.285,12.0,0,0,0
25,0.8333,0.0,0.0,0,0,0.01121,0.0,0.0,0.266,12.0,0,0,0
