frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,0.0333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
2,0.0667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
3,0.1,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
4,0.1333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
5,0.1667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
6,0.2,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
7,0.2333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
8,0.2667,0.00926,0.04167,1,0,0.0,1.0,10.222,1.0,12.0,0,0,0
9,0.3,0.00926,0.04167,1,0,0.0,1.0,10.269,1.0,12.0,0,0,0
10,0.3333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
11,0.3667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
12,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.059,12.0,0,0,0
13,0.4333,0.0,0.0,0,0,0.0,0.0,0.0,0.058,12.0,0,0,0
14,0.4667,0.0,0.0,0,0,0.0,0.0,0.0,0.058,12.0,0,0,0
15,0.5,0.01852,0.08333,1,0,0.00082,2.0,11.963,0.063,12.0,0,0,0
16,0.5333,0.01852,0.08333,1,0,0.00043,3.0,11.655,0.076,12.0,0,0,0
17,0.5667,0.00926,0.04167,1,0,0.0,1.0,8.845,0.081,12.0,0,0,0
18,0.6,0.0,0.0,0,0,0.0,0.0,0.0,0.084,12.0,0,0,0
19,0.6333,0.0,0.0,0,0,0.0,0.0,0.0,0.082,12.0,0,0,0
20,0.6667,0.0,0.0,0,0,0.0,0.0,0.0,0.082,12.0,0,0,0
21,0.7,0.01852,0.08333,1,0,0.00051,3.0,12.947,0.082,12.0,0,0,0
22,0.7333,0.0,0.0,0,0,0.00315,0.0,0.0,0.097,12.0,0,0,0
23,0.7667,0.01389,0.0625,1,0,0.00284,1.0,12.427,0.096,12.0,0,0,0
24,0.8,0.01389,0.0625,1,0,0.00062,2.0,12.898,0.144,12.0,0,0,0
25,0.8333,0.00926,0.04167,1,0,0.0,1.0,8.17,0.116,12.0,0,0,0
26,0.8667,0.00926,0.04167,1,0,0.00012,1.0,8.192,0.121,12.0,0,0,0
27,0.9,0.01389,0.0625,1,0,0.0007,2.0,11.761,0.128,12.0,0,0,0
28,0.9333,0.0,0.0,0,0,0.00335,0.0,0.0,0.125,12.0,0,0,0
29,0.9667,0.0,0.0,0,0,0.00576,0.0,0.0,0.124,12.0,0,0,0
30,1.0,0.0,0.0,0,0,0.00273,0.0,0.0,0.116,12.0,0,0,0
