frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,0.0333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
2,0.0667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
3,0.1,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
4,0.1333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
5,0.1667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
6,0.2,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
7,0.2333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
8,0.2667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
9,0.3,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
10,0.3333,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
11,0.3667,0.0,0.0,0,0,0.0,0.0,0.0,1.0,12.0,0,0,0
12,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.052,12.0,0,0,0
13,0.4333,0.0,0.0,0,0,0.0,0.0,0.0,0.051,12.0,0,0,0
14,0.4667,0.0,0.0,0,0,0.0,0.0,0.0,0.052,12.0,0,0,0
15,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.053,12.0,0,0,0
16,0.5333,0.0,0.0,0,0,0.0,0.0,0.0,0.054,12.0,0,0,0
17,0.5667,0.0,0.0,0,0,0.0,0.0,0.0,0.055,12.0,0,0,0
18,0.6,0.0,0.0,0,0,0.0,0.0,0.0,0.055,12.0,0,0,0
19,0.6333,0.0,0.0,0,0,0.0,0.0,0.0,0.064,12.0,0,0,0
20,0.6667,0.0,0.0,0,0,0.0,0.0,0.0,0.072,12.0,0,0,0
21,0.7,0.0,0.0,0,0,0.0,0.0,0.0,0.075,12.0,0,0,0
22,0.7333,0.0,0.0,0,0,0.0,0.0,0.0,0.077,12.0,0,0,0
23,0.7667,0.0,0.0,0,0,0.0,0.0,0.0,0.08,12.0,0,0,0
24,0.8,0.0,0.0,0,0,0.0,0.0,0.0,0.142,12.0,0,0,0
25,0.8333,0.0,0.0,0,0,0.0,0.0,0.0,0.127,12.0,0,0,0
26,0.8667,0.0,0.0,0,0,0.0,0.0,0.0,0.122,12.0,0,0,0
27,0.9,0.0,0.0,0,0,0.0,0.0,0.0,0.123,12.0,0,0,0
28,0.9333,0.0,0.0,0,0,0.0,0.0,0.0,0.115,12.0,0,0,0
29,0.9667,0.0,0.0,0,0,0.0,0.0,0.0,0.115,12.0,0,0,0
30,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.116,12.0,0,0,0
